SampleGroup,RNASeq1,RNAseq2,Value
ER+,EIF2S3_1,UBE2L3_1,-0.0438493950112441
ER+,THOC7_1,ATP5G3_1,0.0438268735902523
ER+,HSPA9_1,TXNL4A_1,-0.0436410154575683
ER+,COX7C_1,ARF5_1,-0.0434993929770169
ER+,PABPN1_1,EIF1_1,0.0433784543407696
ER+,PQBP1_1,COX5A_1,-0.0432975635065784
ER+,FARSB_1,EXOSC2_1,-0.0430622562789725
ER+,TCOF1_1,GEMIN7_1,-0.0428851169441262
ER+,EPN1_1,COX5A_1,-0.042659010550299
ER+,RIOK2_1,RBMX_1,-0.0426468810012564
ER+,RRAGA_1,ARHGDIA_1,-0.0423514784739542
ER+,COX4I1_1,NOP58_1,-0.0422937934461234
ER+,APEX1_1,FTH1_1,-0.0421873593856959
ER+,HNRNPA3_1,P2RX5_1,-0.0421538638648696
ER+,UQCRQ_1,PRPF31_1,-0.0420738088493025
ER+,COX6A1_1,CDC34_1,-0.0419450031096908
ER+,UQCRH_1,PEX13_1,-0.041925372693629
ER+,EIF5B_1,SNRPD2_1,0.0419087436575841
ER+,COX7C_1,SF3B5_1,-0.041865527473152
ER+,FARSB_1,COX5B_1,-0.0417478275146576
ER+,FTH1_1,CNOT3_1,-0.041714078003029
ER+,FIS1_1,TBL3_1,-0.0413962567298635
ER+,PQBP1_1,CDC34_1,-0.041318292060376
ER+,CWC15_1,TBL3_1,-0.0409491049042553
ER+,SNRPA_1,AP1S1_1,0.04088252590412
ER+,EPN1_1,CDC34_1,-0.0407478740557259
ER+,UBA1_1,ATP5G2_1,-0.0406875194978453
ER+,ATP5J2_1,NAPA_1,-0.0405743672217928
ER+,HNRNPA1_1,ELK1_1,0.0405416695993385
ER+,PGK1_1,PDHA1_1,-0.0400978364590496
ER+,PRDX5_1,ATP5J2_1,-0.0399741254624517
ER+,HSD17B10_1,COX5A_1,-0.0399724732058845
ER+,ATP5J2_1,YWHAE_1,-0.039952805088209
ER+,ALDOA_1,UQCRB_1,-0.0398938926580097
ER+,BUD31_1,P2RX5_1,-0.0397663217439415
ER+,ARPC3_1,WARS_1,-0.0397603015145819
ER+,WARS_1,NAPA_1,-0.0397517413053953
ER+,TXNL4A_1,ELK1_1,-0.039516259733324
ER+,TRA2B_1,RNF7_1,-0.0394349244901769
ER+,SNRPG_1,CDC34_1,-0.0392821066201233
ER+,HSPA9_1,ARPC5L_1,-0.038952635940884
ER+,EIF5B_1,ATP5B_1,-0.0387791958935659
ER+,ATP5G2_1,YWHAE_1,-0.0386897815422544
ER+,PDHA1_1,UBE2L3_1,-0.0386214596085643
ER+,EIF6_1,TBL3_1,-0.0385527017534642
ER+,HNRNPC_1,PIGY_1,-0.0384969281653646
