mRNA,RNAseq,stat
ST8SIA1_3,HSPD1_1,6.6
CH25H_3,ELK1_1,6.6
SQRDL_3,ATP5C1_1,6.5
SQRDL_3,SSU72_1,6.5
CYP7B1_3,EIF3CL_1,6.5
ST8SIA1_3,HNRNPA1L2_1,6.5
RETSAT_3,ARPC1A_1,6.5
CH25H_3,TRA2A_1,6.5
CH25H_3,GAPDH_1,6.4
PTPLAD2_3,HNRNPA1_1,6.4
XPA_3,HMGB1_1,6.4
KCNN3_3,COX7B_1,6.4
ST8SIA1_3,CAPZB_1,6.4
ST8SIA1_3,GEMIN8_1,6.4
UNG_3,ATP5A1_1,6.3
TAF9_3,RBBP4_1,6.3
CYP7B1_3,FARSB_1,6.3
XPA_3,BUD31_1,6.3
DCTN2_3,CHMP4B_1,6.3
